time	V(n002)	I(Re)	I(Rs)
4.012455172377529e-02	1.071402e-03	7.516633e-08	7.784482e-08
4.021814198910245e-02	2.178640e-03	1.308921e-07	1.363387e-07
4.040000000000000e-02	4.862724e-03	2.378432e-07	2.500000e-07
4.080169278804948e-02	1.050043e-02	2.237489e-07	2.500000e-07
4.120338557609896e-02	1.584707e-02	2.103823e-07	2.500000e-07
4.160507836414844e-02	2.090264e-02	1.977434e-07	2.500000e-07
4.200677115219791e-02	2.566715e-02	1.858321e-07	2.500000e-07
4.240846394024739e-02	3.014060e-02	1.746484e-07	2.500000e-07
4.281015672829688e-02	3.432298e-02	1.641925e-07	2.499999e-07
4.321184951634635e-02	3.821430e-02	1.544642e-07	2.499999e-07
4.338158529972545e-02	3.980114e-02	1.504971e-07	2.499999e-07
4.355132108310453e-02	4.135036e-02	1.466240e-07	2.499999e-07
4.372105686648363e-02	4.286196e-02	1.428450e-07	2.499999e-07
4.389079264986272e-02	4.433593e-02	1.391601e-07	2.499999e-07
4.406052843324181e-02	4.577228e-02	1.355692e-07	2.499999e-07
4.423026421662090e-02	4.717101e-02	1.320724e-07	2.499999e-07
4.440000000000000e-02	4.853211e-02	1.286696e-07	2.499999e-07
4.445714285714285e-02	4.862343e-02	9.272705e-08	2.142856e-07
4.451428571428571e-02	4.860817e-02	5.705090e-08	1.785713e-07
4.457142857142857e-02	4.848635e-02	2.164118e-08	1.428570e-07
4.462857142857142e-02	4.825795e-02	-1.350213e-08	1.071428e-07
4.468571428571428e-02	4.792299e-02	-4.837901e-08	7.142847e-08
4.474285714285713e-02	4.748146e-02	-8.298947e-08	3.571419e-08
4.479999999999999e-02	4.693336e-02	-1.173335e-07	-9.829151e-14
4.541942079076968e-02	4.275390e-02	-1.068848e-07	-8.568542e-14
4.603884158153938e-02	3.888117e-02	-9.720301e-08	-7.448326e-14
4.665826237230906e-02	3.531519e-02	-8.828803e-08	-6.468504e-14
4.727768316307875e-02	3.205594e-02	-8.013990e-08	-5.629077e-14
4.789710395384845e-02	2.910343e-02	-7.275862e-08	-4.930043e-14
4.851652474461814e-02	2.645766e-02	-6.614419e-08	-4.371403e-14
4.913594553538782e-02	2.411863e-02	-6.029661e-08	-3.953157e-14
4.977768660681640e-02	2.189781e-02	-5.474456e-08	-3.530440e-14
5.041942767824498e-02	1.984484e-02	-4.961213e-08	-3.146393e-14
5.106116874967356e-02	1.795972e-02	-4.489932e-08	-2.801015e-14
5.170290982110215e-02	1.624244e-02	-4.060611e-08	-2.494308e-14
5.234465089253073e-02	1.469300e-02	-3.673252e-08	-2.226270e-14
5.298639196395931e-02	1.331141e-02	-3.327855e-08	-1.996901e-14
5.362813303538789e-02	1.209767e-02	-3.024418e-08	-1.806203e-14
5.429777589253076e-02	1.093949e-02	-2.734874e-08	-1.621946e-14
5.496741874967362e-02	9.871709e-03	-2.467929e-08	-1.453315e-14
5.563706160681649e-02	8.894324e-03	-2.223582e-08	-1.300311e-14
5.630670446395936e-02	8.007334e-03	-2.001835e-08	-1.162934e-14
5.697634732110222e-02	7.210740e-03	-1.802686e-08	-1.041182e-14
5.764599017824509e-02	6.504542e-03	-1.626136e-08	-9.350573e-15
5.831563303538796e-02	5.888739e-03	-1.472185e-08	-8.445588e-15
5.906898124967368e-02	5.261499e-03	-1.315376e-08	-7.521094e-15
5.982232946395941e-02	4.687673e-03	-1.171919e-08	-6.678102e-15
6.057567767824513e-02	4.167260e-03	-1.041816e-08	-5.916613e-15
6.132902589253085e-02	3.700260e-03	-9.250655e-09	-5.236626e-15
6.208237410681658e-02	3.286673e-03	-8.216688e-09	-4.638142e-15
6.283572232110229e-02	2.926500e-03	-7.316253e-09	-4.121160e-15
6.358907053538802e-02	2.619739e-03	-6.549352e-09	-3.685680e-15
6.450982946395946e-02	2.286484e-03	-5.716214e-09	-3.211737e-15
6.543058839253091e-02	1.985921e-03	-4.964805e-09	-2.784886e-15
6.635134732110234e-02	1.718049e-03	-4.295125e-09	-2.405127e-15
6.727210624967379e-02	1.482868e-03	-3.707172e-09	-2.072461e-15
6.819286517824523e-02	1.280379e-03	-3.200948e-09	-1.786888e-15
6.911362410681668e-02	1.110580e-03	-2.776452e-09	-1.548406e-15
7.003438303538811e-02	9.734732e-04	-2.433684e-09	-1.357017e-15
7.131786517824527e-02	8.098426e-04	-2.024608e-09	-1.128153e-15
7.260134732110243e-02	6.660624e-04	-1.665157e-09	-9.271509e-16
